Name:              |UserName:            |Year:       |Grade:       |Hash: 
Lurlene            |ltenbroekpp          |1           |7.51         |a800a105891a7c815881dbdf3d82939c00ef6210795e5d220328cc71b654007d
Quincy             |qwheelband6m         |1           |7.54         |c933a076b9eacb5aa324e151f7de1540e809dd9b50ffe6920d398cb497e450c7
Nina               |nchuterez            |1           |7.58         |b6f929b956280ff7d78b26aedcbb4e15f145dee600b390ec1c0d517ee18351ab
Dierdre            |dbaszniakl8          |1           |7.58         |d583b88231cf06a1bcb02074b41bd9c705dd480618c639403e6336a091410405
Pet                |plillgardod          |1           |7.61         |36f59a726148b8845356f127fc28a1f6c8c6ea015ce34d7e24076d0032a2935b
Des                |dmbarrona0           |1           |7.61         |458182632cefa21ccdb0467b9af4d9d696104ccdb4c6753311c0ded33d94164e
Zach               |zstaningdb           |1           |7.63         |a19478556aadc67e4a6425a4be9e8ed7095a5959c46a9c7377b40236ab442f45
Godfry             |gmccabe98            |1           |7.64         |79166328235d8d0da227828b9702cf697693de328293f97d3c4cd3021d855f67
Magda              |mdenhaml6            |1           |7.67         |a1c12ed168ab761ff522343d2ac5e9154e16dac2d7637c59388c9aa654e4a118
Archambault        |apesselho            |1           |7.7          |9ea4d76bf48a18c555bb82f874acf8b3aa4a6db6c16efea3448d65660edf8d0a
Son                |scammkr              |1           |7.71         |405793310d41eb037384b2dc275d67a11825db5fa8c5632c27e75a1002191830
Alexandra          |arandlesoni3         |1           |7.71         |8aeff39efc506714e2625bcfa5c7fb80ca151ef1fee230a22cf9a70ad754c5c5
Jenifer            |jchapier32           |1           |7.77         |4e43cf7f6e6fda0e746dcb7795432e49b1cff7774de0de00662a2946f91bb8ae
Agace              |akinderny            |1           |7.79         |f18de7d18054ecf450cc66a067af15a9bba8ca43510d6a274ea93a35fb07e344
Garvin             |gschindler6t         |1           |7.79         |138a067cab7fac87e992651d8efd38325bba2a8b05872a89cd99f85bea24fb82
Mata               |mraddenburybl        |1           |7.83         |bac0885c66343e3d70d8c4736b6e16363a842f752e817ea65230a3fe61c470eb
Bianka             |brampage2e           |1           |7.85         |707a464a96d05aa54ada168bd6631e525fb2e33363b78abaebcf635e515e12ed
Beverlie           |bdyballbg            |1           |7.87         |e04a401bc10970260172b1080c10631b454e2963ea86decfafe631905549164b
Chariot            |cahrend1a            |1           |7.88         |87f6971c74524877d40cd856b8a1c421c53be0008597ed4a3af3ad0f18af003c
Dorene             |dgiuronirl           |1           |7.91         |67d86f37179bfded4ac2ea2da0977599f36cd38a5e9e7918a1e028f5acb3f0e4
Jacob              |jtorbeckk2           |1           |7.91         |176f4a4c3e49733e41e98c9c0b8bbf59d11f3af5a00395803016334ef4f9c3a2
Artie              |afeige7b             |1           |7.93         |c1562c769e589658ac24cdb4eaf18bfe0858108350e31b6713ac0eb31f071180
Alleen             |abonesspw            |1           |7.94         |c7b4d95bc89815e7b9863bbd04fd66032ae91d65adf6b77bc3359731dd582b96
Jeanette           |jsanchiz3j           |1           |7.97         |779e9b8c515406b46cf92e44ef578ec38a9bfce790c92b8467f46ee7db0f64f0
Josephina          |jbraileyc8           |1           |7.97         |a8a68f70b15e54e3eaddb1674dbe2a0bf893e86e500e5db635a71d8e5626ff1b
Ashlee             |asimmonitee9         |1           |7.98         |56fb0d63452e5add623c2eed23a5af43bb6467aab9d44a2f9b148892a3698ce8
Teri               |tgillattdi           |1           |8.03         |15f99e3c90aa1192a2826f6c3de5850bd47a2cb14930a97a4568484282ef6af4
Christopher        |cmcbay6              |1           |8.05         |b9cdcd57ea379a86f86a82045f281b58eb3057207cfc8a1bdb9a7f00d359913c
Richart            |rpowley3p            |1           |8.07         |12a3e38b2a9f2af3780f778aa46f48831ad7fd1d3f4a0e3f160a8b9a79ca9cdc
Katerina           |kimpettog            |1           |8.07         |32b9bf68b86ea2a145fafd72975deab45123921e18214fd76522dfb0f0f6d65d
Reggie             |rcudbirdq2           |1           |8.08         |e81fa596252203e0ee42a75e855804306be4be0f3a0472be25de1d3faaeafd33
Angelique          |aingramih            |1           |8.12         |2376125d9ba54f6e575e00d7db9f11041cb51b757ac58014706c64f6518bc332
Geordie            |gstennard9z          |1           |8.13         |8c7780295f1b828cb235c4769a8764c26e84d7887cc348b3350b72c6365a7333
Tomlin             |trougheyrr           |1           |8.15         |bd2a795d362edbf306032f2eb032ea84cbbd5f65fd00ff824544e6ac890bf9af
Diego              |ddorrellg5           |1           |8.15         |b2c9c983c5411b20fea0d26f2ec874232f4081cc9d136ebc546aa14372ce2ca4
Tris               |trambaut7p           |1           |8.16         |42d47ce2eee3e868e7aad233ebc0fd84af3865b916ec484f38e072db00c980a7
Carmelia           |ctefftk1             |1           |8.16         |7301bebe76691699d381da90a9cfff6d49aa54723877df8a38bcbd0b9bbd6b6d
Eadmund            |ehowardgaterb0       |1           |8.2          |62008d0e10e3332059e618bfe4f030c0b27995f79d42ee8d709e9b51a2023caa
Stern              |sbaughk5             |1           |8.21         |1294fe3702b4c4c0fee8e7760a4e74f716062204347d08cbf09f2dd077104a78
Katrine            |klafford3f           |1           |8.23         |8bf07c26cda7c22d459b2339589d944e947fb012a7588e562c9eb7ed235e7cf9
Pail               |pandrissrb           |1           |8.23         |7acbfbe1abcbf6c97ae546f6d8797752e0272978570ab81a3c8f6d661b0ef3dc
Dalli              |dboucher15           |1           |8.24         |0f91d7769cc785a57d750cc72ed539152e8af40923a736fb4446e0c388a3b0b6
Babs               |bpietrasikfk         |1           |8.27         |e691cbc38b33322d4b69a1d1425ee19d458d58e214e513f79f30e42918c7119f
Galen              |gbattieq6            |1           |8.29         |ff9d50b262bb7ac9b6737d77de7163f9cd909eda78653f694677d42d36e5092e
George             |gfenimore91          |1           |8.29         |5ce026b5420617de45f21b82c037d848f0653c12b71dcec2a24f1e1eb3d04fab
Mora               |mgolbornou           |1           |8.31         |45ac0d216f7e094859a2b8f0df6a6fd708832bd6510032dcab730c2159c7c788
Waylin             |wmciloryd9           |1           |8.31         |603e881a30b246f7e4bfa2d42a89368d9831569bc70cceb25abbaf8e111dedce
Nicholle           |nlampkind            |1           |8.33         |281974dfc1da116bde5ff3d2f2eeeb7f58f8f49a5ea900263ef8ce93d2996c65
Nehemiah           |nskoggins85          |1           |8.33         |27543116447b0bcfefc57fdbc08b38e33d9721837c3b3e4d8be9a80634a359f3
Dyan               |dmelsomqk            |1           |8.37         |b5374ce4e4e0caa74fcefaf8f1f95c980b32337c5b1c32b6b366a82db43a5fb1
Angelika           |aanglimhs            |1           |8.38         |6d049e7e53442bde9afd83d19d6b7a6483ded348c13ac93e9e97305a6903d14b
Lita               |ldrewor              |1           |8.38         |8b88fe43fe65a50cab48310f4d019298aff9563e899f7797531b39fb999e13dc
Salvidor           |socullinane4w        |1           |8.44         |a206909fc5ef549cc4c55032b83e001989b1bc7079d3fbbc727056ca796b58f7
Gabrielle          |gwilkison2z          |1           |8.44         |50072efb848428afb3fe8c1fceaeed3b7e5286d0d9ef5f8683cfbabb5c2fffbe
Englebert          |etenchp5             |1           |8.44         |a0a322008094f49ce726d94059d284c43f1b5eb88f644dc16635441481b7b297
Beilul             |bvelte7n             |1           |8.49         |0586f5a662c9457dd244142ca27223e9f3bc8d04d7c6e9c5ebc301ce833cf79d
Janaye             |jzanicchelligy       |1           |8.5          |b1a2ee65eb3e8ebf7d5a92119fb141b66834afe0ff278318c453021c9d727b3b
Caroline           |cfone81              |1           |8.55         |ddf38946be3eac6e1fd89a1a618a06cdc912360358021f7107f09924486dec77
Doralynne          |dmorradn6            |1           |8.56         |5b6f6e17a3bddbbd70f66ab0de91373109e577a1237689db1899d1450980d0dc
Hall               |hvoss44              |1           |8.57         |e40bdfb499f347368239f64a1c01522315b5d0eba7aca0f8a0d810078c22b961
Brunhilde          |bquinseec6           |1           |8.59         |8686e69d078e36906ce142960988c1900a431f674ce14bdab02b0aa3eb45d9f6
Ashbey             |akent2t              |1           |8.6          |84d115c36057c9929584c42e6c016deb7f879aa72f795459f953ed7af5802958
Dacia              |dbuntina8            |1           |8.6          |ff6e33197f4342b24d095a80bced1e681c7efccf4dd616a9a70927d56bdb7ba6
Karl               |ksatyford1d          |1           |8.62         |004e6485d2f8bebaa479e5d2c51c7b15257665af2942d0cfdf9b7190ae0736a6
Dasha              |doverton5h           |1           |8.62         |e2221fc6dc0da91971e49f2b74b905fe302f104b35162208f2ab00eeefe482dc
Guthrie            |gvictoryen           |1           |8.63         |f343fe03beb8abcc1c9b6d2a128b2df3160deacdc640c433d4443fdca6fefda7
Cy                 |cwarbeysil           |1           |8.68         |50843f9e40895d19df06e095522848af55b35a1afb286a6a0cf78b0ebde8ffc7
Callean            |crudingerky          |1           |8.72         |bc91bd6ddeeab7e4dff26367ac7d0990217a05605e315e0e663b35cfa472aea3
Sheila             |snoellgp             |1           |8.73         |e824065e75a490a9105cedfc2a954e87f312056f1a9c3cb09cf800412f2f4286
Alana              |achernkv             |1           |8.74         |8b2058b963c0e4c11c2d0479ed35f2ab789687598c3973d7c4b949fa7859de2d
Miof mela          |mnickersonqb         |1           |8.76         |300f135a3930ceb867f67c0b533a00e606299ec49b627c833f6858441c89c3c4
Alasteir           |aseresf8             |1           |8.85         |c32da9a7c85e64085ed4c1330e57021463d1ad1e3571b37e279b72ab25e6c024
Guenevere          |gbestwick7g          |1           |8.86         |3b23b1cfdf5f2f9b1879d1dcd22a4f5b82cb597bf3c39555ab3acb4a87437564
Miranda            |mgianolo1r           |1           |8.86         |6db44a76a48a72ccaeb566ae9b75571078a953916dde3d9f4741830594c2377e
Barbara-anne       |bphilipoti5          |1           |8.86         |f110c8cb6283c2ab04c3ba705d161de5fd870ee40d7aa2774623d5eec39eaf20
Ches               |cscibsey9n           |1           |8.86         |51707634460eb08ce4becc2cd8a11ac9e3c81c0706515e91b5ee96b1aa665418
Darsie             |ddemezant            |1           |8.93         |fc99ab2f28f91a3666fcf0c9fbfc408c8cad83b1ec2e747c7a665b081fd93af5
Winni              |woransi4             |1           |8.93         |dcc3c63209962453234b5da0798d6a927860fc37b36fee70040aa1f2e3a23d30
Wallache           |wpharaoh9q           |1           |9.03         |0917dc8746544f59b4459529e14cc6164f31ceb7302694b4e1f0742bd90b25be
Itch               |ibanyard63           |1           |9.04         |2a3ebfcde28e891f4e1831aade0976a0135db4f78341c98d6f5bddc83d2015c2
Raff               |rattrilgq            |1           |9.04         |280da907c291843740390763dcb7f3aaf8347986e9ad8051fc8964eb26356972
Dickie             |dspilsburielx        |1           |9.05         |9dfb56ba8809586a49ee6c9ac189fc1ae977bfef66058bc1912470cae1d66f8f
Kasper             |kpetruskevichfa      |1           |9.05         |4c90b36c32f446d8732a2db9526dd2c668fc9a80c32de1d4af57596f4cc56e35
Barbey             |bbrine7u             |1           |9.09         |0834593d1761eccdaed06b6ac0ec76d552099b0ec7d6aee691f12be4eac3b2c4
Rheta              |rhockell60           |1           |9.14         |d9dfaf6826f80caeb206dcd088ea0b2cbcf2ed3f6d7dd719c40f8dc7f7cb5cfb
Selinda            |storresfy            |1           |9.14         |5342c1a65bea33ee410554da5a3e33dd83cdad7e0f97719d75a83ed6cc4d35d6
Jan                |jbeneytoh0           |1           |9.16         |be3bc5fada9fc6c211f02cf953e8e1c62fa4137951d184d8f1272373ef7a11c7
Abe                |aeversfieldg2        |1           |9.24         |a89f9fbadc34860df1020183ca6c6dbab944a6e00795776c23bd3cee924817f1
Druci              |dgrimmertet          |1           |9.24         |a68d3110795b80950a0cd6621ddaae467cc43fc001e2d89784c0ed49c0194274
Suzanna            |savrasin4g           |1           |9.31         |d8be52260227e6c732fad74486a19f9fc43b61ab5d4bd29e9635d75b88093d15
Leontyne           |ldahlmanr5           |1           |9.32         |d30c227a84a7aaf1e43fdb6208a6ba052ce964f94e083392fa6baf634a3ffcd9
Debbie             |dortob9              |1           |9.32         |2a0aa546481d70cffbf3b9bcccaf338d99e92ada22e8adf7e1b38c869e15df91
Kathryne           |karnison5m           |1           |9.34         |b0026d17485d7cfa39b6c4b71e6b554f6c68ed444df9bfc40b180107cab82a0c
Simone             |sdavydenkocn         |1           |9.34         |675891331f619e087346812f1091050bb0f22451e2387d59c2c8b2b81e6db2e1
Ingaberg           |ihinksenqq           |1           |9.35         |4a61594851f1604605e02cd1bcb26a39382d6e47ab24414174a530ed75b0bdb3
Cloris             |cpeedell3z           |1           |9.37         |20d47f34b73798ba97ba8ec93168fa94e106f8c62bfa95626091f28d9684c1ed
Haily              |hmcalarney1q         |1           |9.37         |dfddbbaa25a6746d8080bcc72cec2d997405417dd002aeeab8bee137d21466e7
Anallese           |anasta5              |1           |9.38         |21879641b8287e91ab5a4eddd1005c906d4b79c5f265c6e4511851c3567c9bf0
Pen                |pshalloobf           |1           |9.41         |c250181e2f9eee1049927be593f969a14b91ec59ec5ed60432f21d662ff25347
Letisha            |lbryenton2u          |1           |9.43         |61a3ec6ca153e5539f7458ccc9da32f4171cf9cb5e223c1cbaf2e90692a68857
Minetta            |mgopsellj0           |1           |9.44         |aa8b94ed92b34c1ea8a5c344d091530f5522c49380257805432b57ad35ddf211
Retha              |rmynard1p            |1           |9.5          |4441fddd46858c254a3c2db472629b68eee883fd29a752e5abce445b7bdd2dcf
Keane              |kmccrackane7         |1           |9.55         |773c31edcde485da644a39521b91e2cfb86208206b86de0dad6a8c4040fb80dc
Cole               |cmaaseb2             |1           |9.59         |7a3788370e04a86f4107dc5a184c7f54e09b7b2c0ec2ceccef7539ba7708b4fb
Brynne             |bshaughnessy4b       |1           |9.61         |e248cfd3e1f4906de234835c3f7036e1522d797f5e73718c8b03d92da3c5c6c9
Amargo             |aearl2k              |1           |9.61         |cdbd0fc1893083ad3c09a72a456d2303a28d0e38341b540bc3114a852c32a5ed
Douglass           |dpreuvostmx          |1           |9.64         |ca75cacdd0cfa62983009426c7563a5c6111ab5a238428ea993806e12b63e932
Delbert            |daynoldlg            |1           |9.64         |52c0d73d41b078877578b6481b9dce12cf95983a3137b43eaf3f7ab07fe12893
Ives               |isebring9t           |1           |9.64         |22daa2bced6d1fbd1d00f5263f85ec5360a45b80d3d258d3c343b7baa47ef21e
Lloyd              |lcicchitellokj       |1           |9.66         |cec8380b63c01cc676352aa4d528337c179696d3ead61112deda97cd78b76a95
Fred               |foshiels6x           |1           |9.68         |da93526745b5532f3d4cc8dc0bd4871c2f4006c79ae3657ceac5ec77cf1993b2
Fredrika           |fbrumbye86           |1           |9.68         |fe72b55c84601f134c6ca52173c39047a560396413326d07aed9d169429e2b45
Bertrand           |bbiddle97            |1           |9.72         |d4483c471b4c239caaff08b5d709824d58f217daa4d9cd4aed20456c699d40dc
Ferdy              |fspadoniom           |1           |9.75         |871ddeef1f2e27ae4a0c370555088c5bee9411a4921978c52909d9ab8b7e993c
Alonzo             |ajakubovskyqr        |1           |9.77         |b68ebd86b09123c8574b4c3ed48505d7d9e764387543c2eda2b21940d6168924
Tibold             |tcloy78              |1           |9.78         |edbe61dd49cdda473defebfbfa91012068c1b0428bb256d5fdedf7f143c6a306
Yelena             |yschukrafthj         |1           |9.78         |be206d93f70a97b711b281eff98bbf2b92efe2417bb57ec8f7899cd1fdaaf034
Griz               |gkalinovich57        |1           |9.82         |828b25dc943620358aa947d4252bb3c898d258ef3b22b920b4178ccc7fa51f47
Seline             |sdittson17           |1           |9.83         |a357df08fe4d7f22563ed7eef8d5af8fe225c2661146f256597b8c7ff738e3bf
Josy               |jmatthews99          |1           |9.84         |872398481f0164f8f786349d63930ffccbdd7a7382c1371351feb27c403f96f9
Tommie             |tpibsworth8g         |1           |9.9          |b44aca908f7d9eae0beec1053d0117061c72fb7e4a204949ff93d5e266ee3327
Bartolomeo         |bbecarradx           |1           |9.91         |bf024e0955e25ff03dab7e09d21274c652139e46f8467afe1a68e53d898e41d1
Nevins             |nmullarkey8z         |1           |9.95         |eebc7b4e52cd5df474a8c43550f1c5f2895a0d8af2b732bcb113d68a9de147de
Annabell           |agiacomuzzian        |1           |9.97         |93bd612238ac35a5612fc8d4a4a3a2832eeb3689691b3597274661bbf95ed6b3
Pat                |psywellbd            |1           |9.99         |e14db194dfd7435ca9473900060439ac1ad10c6ec36713572e5233148b6d87dc
Helaine            |hseppey4o            |2           |7.03         |791f8b1f6080b0d337139252e3e61ef21b9d3c5d63b4071716958c9ad1a32506
Hallie             |hcressor3v           |2           |7.04         |51bf1f42446064e1c3d2de2409445aa0af7cb2c1638292ac9c8fc75fb3fa3164
Nicolis            |nbirchwoodai         |2           |7.15         |2ea27aad17a258f16244acb7c14c5932f26a2192ccdbe39761e4aad03613d81c
Vance              |vderisley8p          |2           |7.15         |722aa61ac451eaed50ec606bc9511448ad404ee128f7c270dd18d2e5d4953aca
Domingo            |domonahan7           |2           |7.19         |a622f377646e1ceb107a348bca3a7d77de2bef33fbdc7dcf609be834e5d1a3b5
Jemima             |jburrenh1            |2           |7.19         |59f7fb98e538c16997e175b17a35bee953e0dd1a3b2957825c90b46877e6642c
Zerk               |zraisbeckb7          |2           |7.21         |c5751fb7bacf340cad6458277de7fae9ec2a416787ea62cb15a8df3933e1db15
Man                |mbritten94           |2           |7.21         |947b1551ecef72ab65307df34eb5f374804b73d3ed6d58fb18a711bbfd00758d
Jeanna             |jhornungpr           |2           |7.22         |8654ec68634cbf87676a3ef04650c07fdbd2f199df19304f89380eb34df08051
Diane              |dmoller77            |2           |7.28         |3a014dbaf2e6feacbbb14de775aa24150d7e8601d2759e91a4f77cab3c084b07
Jocelyne           |jsoutherand1         |2           |7.29         |3ccad01da384bb87206cc159b47b5ebdfd9224ab250511e474c5915acd56ca76
Craggy             |ckremercr            |2           |7.31         |845e365a60b42ec74c323802f038d9e21fced29ce87e4d60ba898e373555ef89
Morris             |mwinny80             |2           |7.32         |b8e036894ae9c68d76438f72181a79a4937cb152456f8ce8f316ff88f8bc2c1d
Bobbette           |bbiglyip             |2           |7.33         |e62ded72f7c2bf4fd3eceac5b3b11b6ea7c5004d1b18c49e961cf1632ff42ed9
Oralia             |onobes4l             |2           |7.34         |784d121e1e84be3404b1913da63f9e1e0d736c533883d51e054d4899840cf5f5
Maressa            |mmcilherane3         |2           |7.34         |b04d7f9a7a779a17f726dd712e06851fd351ab195e6dea2763312e53cccc0926
Benedetta          |blevayoj             |2           |7.42         |f6dcb05bc3b1ed87d5e4063b6483d58bb6a1d5dab1038c6a7d38d828226283b9
Essa               |eblackey9a           |2           |7.42         |42f521c680845920eb494edba7df408132865640fc5f8cfca10396384471d567
Ossie              |ogawne5n             |2           |7.49         |02dac93269c842855605d941e88b269205f81e7ed41615f5f2a43a2bef62df4a
Berton             |bcrookmf             |2           |7.53         |bd5cd7cb8cdffcbf8b14923e887bd419252aec237d47692db6888a87b1d77449
Vasilis            |vbrisleyk7           |2           |7.56         |bdd90d68e17f0d690e1abb2b73cfc75f11455786bf99f0f100ff8992e731a115
James              |jdarco9y             |2           |7.61         |e018e42966c8ce8dfab870cf3f5759d4196170017c91785813254ba8007b0e22
Misti              |mnolleau3y           |2           |7.64         |659fd4b1e4ba2a1e7ee65e25e41f52dd47136b3b67667be80d3d7892a86c138f
Ignace             |iallensonqy          |2           |7.64         |52ebe80837eae1b0b80b93d41f56156eb7570e964fcdc59007730b485ec3d28b
Tabina             |thallatt69           |2           |7.65         |8ff6fdf0c79f2e6c554bb26f9fb74ae743860e3e67353ede48d4616c4321e68e
Gil                |gdorgon41            |2           |7.67         |7fd9d77aebb237fd8d2841a84ec07603de124682efd74f2409d88f2ce5af27db
Lorilee            |lrosbroughm1         |2           |7.68         |31013e91b1fc3e7d423ca26d7c3230a29804919c4eb3520aa4498fb08918a463
Collete            |cdalwoodpy           |2           |7.69         |5fad9d280f36980a6287c2ff2c79563c1835abe54f6dbb7ec2554e9593ffb24c
Jessie             |jteodorolk           |2           |7.72         |7dba42b506f4893c6d04d44565c57dc3272ab416b26bf78d19682a4fe82e05fb
Fairleigh          |fpenricec4           |2           |7.72         |77e5dc4383db339c498b481c3ebd9020e5804c0f64c6f2b5e806886843367f9d
Waring             |wbooijci             |2           |7.72         |f618d1c32b428ac9120c6f8a8b3dbaf519e7a7fe816160610b8f752f31921cc5
Ranique            |rperigonm            |2           |7.74         |b3a1b844178e0d7b3ea0f905da681b28722ddfd928abe2ea2a649cfc45807993
Marylynne          |mrubinel             |2           |7.74         |32e6204caa5d4a7ba9d14139fb55e32d138487eb3eb4035e57fef85eb7f87b89
Benji              |brammerg             |2           |7.78         |267f6165cdf75b632869b27411e71f9ea00ce4738ff239fa5ef4e8a6ad71804b
Lois               |lsteedenku           |2           |7.81         |ffd5813f554b2e5a47b8a87db610f7318e249d639693f74959f97b1eee276375
Cleon              |cfoxk4               |2           |7.85         |da0627f3ca732195847017ba4a8415e5d8bbaf842b2622e2dfc94a177c7730a9
Cassius            |crippingt            |2           |7.86         |0248d7146ab4948157d5046552dda5b5eddae68ffaa18327c0916a810fdfd3a3
Eolanda            |edealtryby           |2           |7.93         |f4a65426d13edc24035e9bdb0ed097f03705b43cc3840a5a8493d1a823a3e5de
Clerkclaude        |clovittep            |2           |7.94         |cf89f2c7e0169bad3b6b21967050528c6f00d5ebf70477105207499b2f666fe8
Edee               |ecalterakk           |2           |7.98         |6252d036bf1d33476018f946c7e650b58f3095710bd5fd9d6c323cce2d6a52f3
Ennis              |ejirasekma           |2           |8.02         |c15585bc572fe0dc4ffd24e439b30f136d8dde0158b323b7ed3fd69c72b05076
August             |afollacaroaw         |2           |8.03         |307faca7f488aa74c3813838219db0fcbbb2d786f7a5e0106494d74b9cb1b38e
Khalil             |krottgersbb          |2           |8.07         |7ae053525e08edd24481787128f1d4da02dbc9baf72a78079d836e89b99ab333
Carolann           |ccookehp             |2           |8.08         |3465110d02290fb0a7e614ebe7ffff54106112df69ccc6a414a03ffb56f1e2b5
Langston           |ltreblel5            |2           |8.1          |40ad68c65c5e7c8e4d02acececbe1a7a35bc883beb758de496a9d2639f7efc07
Haleigh            |hleynhamps           |2           |8.11         |7ee0869f0604b2f22069aa7f52c7d3b625a842883aa9edbc2ce510dd424a01cf
Norrie             |nnormadellf3         |2           |8.12         |a5da061a274dcabaa7421cb9efbabc9d66308897a3376dbddaaca97a46d30189
Wit                |whexum2m             |2           |8.14         |015425c2bfea2bb0a0ec0106d52c0ff7b46cbda73e78e993551dc38e61a07562
Merlina            |mfortmancv           |2           |8.14         |9522880d3e6423d53b25489cd1e46dd1309a633f392fab85a91cc0093cc2a4dc
Antonio            |aboggasmh            |2           |8.23         |a5c1cf177c3e932128da6d54523104da1d92f19c53db3917501f5c314eeab842
Will               |wrisbroughf0         |2           |8.27         |4ea2c183bc655a9fb1078cdfe1cc1eb19bc3f2230625d670133cca90aa1a3fd6
Elijah             |evaudrepm            |2           |8.29         |75caf1c093ffb8dff7e628e57ab63bcb501d12fbd6359c4e48c8f51e24cdaecd
Bernita            |battargekb           |2           |8.31         |8d8a10402e314db8e54a4d95f7ba94a086e653c98db01f95ff4eb9b1588f9b45
Ade                |atrobeya4            |2           |8.31         |c593a1053dc8ec077d8fac0d31ebaf569cc091ecc50286039fb99dfb476e35b0
Davie              |dwabersinkej5        |2           |8.32         |edb152f2467b2941146550f2bc63600403aaaa57e6afae13972d99f4ae59067c
Carree             |cerley7o             |2           |8.35         |5cb57d58de4862f52116f4a1ea56d93fc2e9ef321f650aae0c978dcf3d360c3a
Wallas             |wdebruinn0           |2           |8.35         |b9f698b359e9bcb22b6e5cc4eb631efe133e431461995cb1fc1a8f0f0e86dfdc
Ethan              |escrewtonhm          |2           |8.38         |55546a9a5363807aeb383d54fc69621565c627d8c1fa3e99f55cc7000b1eadb1
Erroll             |erobinette9h         |2           |8.38         |27a26b8770691c80b949485760aa6a33cc14d15e4136ea6c228363fc60670b02
Aldis              |alago3d              |2           |8.39         |a8cc23f2766851c5836aa95f5465f30596d6216645c646b6cb6c9c7264f726b0
Dickie             |dinottcm             |2           |8.39         |c5fb9cb2b0f7534f0de874201de3f28418334bed4fdf529fc1be3ba5f7a8ade4
Erl                |ebrennansmo          |2           |8.41         |6d77e2ff92f45b56f6a034c32ed92384c46fea8833a01a722847726c63a0bdfe
Joni               |jgarrattkh           |2           |8.44         |5c3bf0e13f9d47155468fdce8b984f29c33e0bb9243098adb98c22aee3740c09
Rafferty           |rgolleyow            |2           |8.49         |60d25ceee44d35ff4fdeac7bf2352005dd9c2791cd555d205c065bf89f658a88
Sidonia            |sickovitseg          |2           |8.49         |02bf15be9fb9b51bba2c0b30956e3ce13d1208cb0de31650506290e526f44604
Cristionna         |ccolsoneb            |2           |8.52         |b9aeb33ace439628192b03dbeb465f1c28919d5ca66821d84f983f20e954f337
